date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,went_to_shootout,outcome,home_elo,away_elo,elo_diff,home_recent_winrate,away_recent_winrate,home_recent_gd,away_recent_gd,form_diff,h2h_winrate,home_advantage
1884-03-15,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,False,False,home_win,1657.1417904370192,1490.1264317670748,167.01535866994436,1.0,0.6,3.6,3.2,0.4,0.6666666666666666,1
1884-03-17,Wales,England,0,4,British Home Championship,Wrexham,Wales,False,False,away_win,1443.5134724209188,1481.2754096891208,-37.76193726820202,0.2,0.6,-1.4,3.4,-0.39999999999999997,0.4,1
1884-03-29,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,False,home_win,1665.9928125149731,1429.2456584960232,236.7471540189499,1.0,0.2,3.0,-1.2,0.8,1.0,1
1885-02-28,England,Northern Ireland,4,0,British Home Championship,Manchester,England,False,False,home_win,1495.5432236140164,1409.2183053749873,86.3249182390291,0.6,0.0,3.2,-5.0,0.6,1.0,1
1885-03-14,England,Wales,1,1,British Home Championship,Blackburn,England,False,False,draw,1507.6476492329232,1422.7246549865345,84.92299424638873,0.6,0.2,2.6,-0.8,0.39999999999999997,0.6666666666666666,1
1885-03-14,Scotland,Northern Ireland,8,2,British Home Championship,Glasgow,Scotland,False,False,home_win,1672.513816024462,1397.1138797560805,275.39993626838145,1.0,0.0,2.6,-4.4,1.0,1.0,1
1885-03-21,England,Scotland,1,1,British Home Championship,London,England,False,False,draw,1503.8128681029743,1677.9551607564435,-174.1422926534692,0.6,1.0,2.8,3.6,-0.4,0.15384615384615385,1
1885-03-23,Wales,Scotland,1,8,British Home Championship,Wrexham,Wales,False,False,away_win,1426.5594361164833,1670.5459207021117,-243.98648458562843,0.2,0.8,-0.2,3.0,-0.6000000000000001,0.0,1
1885-04-11,Northern Ireland,Wales,2,8,British Home Championship,Belfast,Ireland,False,False,away_win,1391.6725350240988,1420.2521355778347,-28.579600553735872,0.0,0.2,-5.6,-1.6,-0.2,0.0,1
1885-11-28,United States,Canada,0,1,Friendly,Newark,United States,False,False,away_win,1500.0,1500.0,0.0,0.33,0.33,0.0,0.0,0.0,0.5,1
1886-02-27,Wales,Northern Ireland,5,0,British Home Championship,Wrexham,Wales,False,False,home_win,1434.9389568706463,1376.9857137312872,57.953243139359074,0.2,0.0,-1.6,-5.8,0.2,0.75,1
1886-03-13,Northern Ireland,England,1,6,British Home Championship,Belfast,Ireland,False,False,away_win,1363.6300796795545,1511.2221081573061,-147.59202847775168,0.0,0.4,-5.6,1.4,-0.4,0.0,1
1886-03-20,Northern Ireland,Scotland,2,7,British Home Championship,Belfast,Ireland,False,False,away_win,1354.0455967190862,1676.8532212407604,-322.80762452167414,0.0,0.8,-5.2,3.4,-0.8,0.0,1
1886-03-27,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False,False,draw,1681.1703248006133,1520.8065911177744,160.36373368283898,0.8,0.6,4.2,2.6,0.20000000000000007,0.6428571428571429,1
1886-03-29,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,False,away_win,1448.294590922379,1527.7083190900375,-79.41372816765852,0.4,0.4,0.2,1.8,0.0,0.2857142857142857,1
1886-04-10,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,False,home_win,1674.2685968283502,1435.8893429242466,238.3792539041035,0.6,0.4,3.6,0.4,0.19999999999999996,1.0,1
1886-11-25,United States,Canada,3,2,Friendly,Newark,United States,False,False,home_win,1484.0,1516.0,-32.0,0.0,1.0,-1.0,1.0,-1.0,0.0,1
1887-02-05,England,Northern Ireland,7,0,British Home Championship,Sheffield,England,False,False,home_win,1540.11356708817,1349.7284931592333,190.38507392893666,0.4,0.0,1.4,-5.4,0.4,1.0,1
1887-02-19,Scotland,Northern Ireland,4,1,British Home Championship,Glasgow,Scotland,False,False,home_win,1680.7409552431334,1341.7124762519845,339.02847899114886,0.6,0.0,3.0,-5.6,0.6,1.0,1
1887-02-26,England,Wales,4,0,British Home Championship,London,England,False,False,home_win,1548.1295839954187,1429.4169845094634,118.71259948595525,0.6,0.4,2.8,-0.2,0.19999999999999996,0.625,1
1887-03-12,Northern Ireland,Wales,4,1,British Home Championship,Belfast,Ireland,False,False,home_win,1337.7323650201347,1418.6806401670167,-80.948275146882,0.0,0.4,-5.0,0.4,-0.4,0.0,1
1887-03-19,England,Scotland,2,3,British Home Championship,Blackburn,England,False,False,away_win,1558.8659283378654,1684.7210664749832,-125.85513813711782,0.8,0.8,3.6,3.6,0.0,0.13333333333333333,1
1887-03-21,Wales,Scotland,0,2,British Home Championship,Wrexham,Wales,False,False,away_win,1399.0188537908446,1695.166094623466,-296.1472408326215,0.2,0.8,-1.4,2.4,-0.6000000000000001,0.0,1
1888-02-04,England,Wales,5,1,British Home Championship,Crewe,England,False,False,home_win,1548.4209001893826,1394.0958287841813,154.32507140520124,0.6,0.0,2.4,-2.8,0.6,0.6666666666666666,1
1888-03-03,Wales,Northern Ireland,11,0,British Home Championship,Wrexham,Wales,False,False,home_win,1384.7695236677228,1357.3941513963068,27.375372271415927,0.0,0.2,-3.2,-3.4,-0.2,0.6666666666666666,1
1888-03-10,Scotland,Wales,5,1,British Home Championship,Edinburgh,Scotland,False,False,home_win,1700.0891196301293,1399.5114436141212,300.5776760160081,0.8,0.2,1.8,-0.4,0.6000000000000001,1.0,1
